county,customers_tracked,customers_out,company,date_time,download_date,download_time
Alachua,935,0,Central Florida Electric Cooperative,8/28/2023 7:34:44 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Dixie,8143,0,Central Florida Electric Cooperative,8/28/2023 7:34:44 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Gilchrist,8048,0,Central Florida Electric Cooperative,8/28/2023 7:34:44 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Lafayette,10,0,Central Florida Electric Cooperative,8/28/2023 7:34:44 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Levy,18371,8,Central Florida Electric Cooperative,8/28/2023 7:34:44 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Marion,9,0,Central Florida Electric Cooperative,8/28/2023 7:34:44 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Unknown,1416,0,Central Florida Electric Cooperative,8/28/2023 7:34:44 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Holmes,293,0,Choctawhatchee Electric Coop,8/28/2023 7:34:47 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Okaloosa,20286,0,Choctawhatchee Electric Coop,8/28/2023 7:34:47 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Santa Rosa,174,0,Choctawhatchee Electric Coop,8/28/2023 7:34:47 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Unknown,0,0,Choctawhatchee Electric Coop,8/28/2023 7:34:47 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Walton,45533,2,Choctawhatchee Electric Coop,8/28/2023 7:34:47 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Leon,105436,653,City of Tallahassee,8/28/2023 7:34:54 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Unknown,0,0,City of Tallahassee,8/28/2023 7:34:54 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Wakulla,4,0,City of Tallahassee,8/28/2023 7:34:54 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Alachua,25535,1,Clay Electric Coop,8/28/2023 7:34:58 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Baker,2833,0,Clay Electric Coop,8/28/2023 7:34:58 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Bradford,6361,0,Clay Electric Coop,8/28/2023 7:34:58 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Brevard,0,0,Clay Electric Coop,8/28/2023 7:34:58 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Clay,88920,3,Clay Electric Coop,8/28/2023 7:34:58 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Columbia,18323,0,Clay Electric Coop,8/28/2023 7:34:58 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Duval,6,0,Clay Electric Coop,8/28/2023 7:34:58 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Flagler,3,0,Clay Electric Coop,8/28/2023 7:34:58 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Gilchrist,9,0,Clay Electric Coop,8/28/2023 7:34:58 PM GMT,2023-08-28,2023-08-28T19:54:36Z
Hillsborough,0,0,Clay Electric Coop,8/28/2023 7:34:58 PM GMT,2023-08-28,2023-08-28T19:54:36Z
