county,download_date,download_time,total_outages,customers_tracked
Alachua,2023-08-28,2023-08-28T19:54:36Z,3,133684
Baker,2023-08-28,2023-08-28T19:54:36Z,0,12442
Bay,2023-08-28,2023-08-28T19:54:36Z,1,123461
Bradford,2023-08-28,2023-08-28T19:54:36Z,0,10553
Brevard,2023-08-28,2023-08-28T19:54:36Z,175,336310
Broward,2023-08-28,2023-08-28T19:54:36Z,712,847467
Calhoun,2023-08-28,2023-08-28T19:54:36Z,0,17420
Charlotte,2023-08-28,2023-08-28T19:54:36Z,162,125880
Citrus,2023-08-28,2023-08-28T19:54:36Z,0,94960
Clay,2023-08-28,2023-08-28T19:54:36Z,3,97880
Collier,2023-08-28,2023-08-28T19:54:36Z,28,270337
Columbia,2023-08-28,2023-08-28T19:54:36Z,1,35794
Desoto,2023-08-28,2023-08-28T19:54:36Z,3,6560
Dixie,2023-08-28,2023-08-28T19:54:36Z,0,10622
Duval,2023-08-28,2023-08-28T19:54:36Z,9,485019
Escambia,2023-08-28,2023-08-28T19:54:36Z,11,162663
Flagler,2023-08-28,2023-08-28T19:54:36Z,8,70086
Franklin,2023-08-28,2023-08-28T19:54:36Z,0,11175
Gadsden,2023-08-28,2023-08-28T19:54:36Z,0,15449
Gilchrist,2023-08-28,2023-08-28T19:54:36Z,0,9853
Glades,2023-08-28,2023-08-28T19:54:36Z,1,6936
Gulf,2023-08-28,2023-08-28T19:54:36Z,0,12113
Hamilton,2023-08-28,2023-08-28T19:54:36Z,0,7060
Hardee,2023-08-28,2023-08-28T19:54:36Z,0,9485
Hendry,2023-08-28,2023-08-28T19:54:36Z,0,16306
Hernando,2023-08-28,2023-08-28T19:54:36Z,0,102951
Highlands,2023-08-28,2023-08-28T19:54:36Z,14,64903
Hillsborough,2023-08-28,2023-08-28T19:54:36Z,56,673527
Holmes,2023-08-28,2023-08-28T19:54:36Z,0,15965
Indian River,2023-08-28,2023-08-28T19:54:36Z,1,97920
Jackson,2023-08-28,2023-08-28T19:54:36Z,1,40065
Jefferson,2023-08-28,2023-08-28T19:54:36Z,0,8671
Lafayette,2023-08-28,2023-08-28T19:54:36Z,0,4456
Lake,2023-08-28,2023-08-28T19:54:36Z,134,175516
Lee,2023-08-28,2023-08-28T19:54:36Z,365,481145
Leon,2023-08-28,2023-08-28T19:54:36Z,654,131265
Levy,2023-08-28,2023-08-28T19:54:36Z,8,24866
Liberty,2023-08-28,2023-08-28T19:54:36Z,0,4161
Madison,2023-08-28,2023-08-28T19:54:36Z,0,11464
Manatee,2023-08-28,2023-08-28T19:54:36Z,8,243308
Marion,2023-08-28,2023-08-28T19:54:36Z,4,213525
Martin,2023-08-28,2023-08-28T19:54:36Z,16,100052
Miami-dade,2023-08-28,2023-08-28T19:54:36Z,266,1198530
Monroe,2023-08-28,2023-08-28T19:54:36Z,0,112567
Nassau,2023-08-28,2023-08-28T19:54:36Z,0,52680
Okaloosa,2023-08-28,2023-08-28T19:54:36Z,0,117717
Okeechobee,2023-08-28,2023-08-28T19:54:36Z,0,23112
Orange,2023-08-28,2023-08-28T19:54:36Z,68,642269
Osceola,2023-08-28,2023-08-28T19:54:36Z,2,205372
Palm Beach,2023-08-28,2023-08-28T19:54:36Z,38,782400
Pasco,2023-08-28,2023-08-28T19:54:36Z,1,308496
Pinellas,2023-08-28,2023-08-28T19:54:36Z,94,567348
Polk,2023-08-28,2023-08-28T19:54:36Z,4,361542
Putnam,2023-08-28,2023-08-28T19:54:36Z,1,43001
Santa Rosa,2023-08-28,2023-08-28T19:54:36Z,6,88435
Sarasota,2023-08-28,2023-08-28T19:54:36Z,33,290787
Seminole,2023-08-28,2023-08-28T19:54:36Z,7,225390
St. Johns,2023-08-28,2023-08-28T19:54:36Z,16,138699
St. Lucie,2023-08-28,2023-08-28T19:54:36Z,9,180103
Sumter,2023-08-28,2023-08-28T19:54:36Z,1,88404
Suwannee,2023-08-28,2023-08-28T19:54:36Z,66,24749
Taylor,2023-08-28,2023-08-28T19:54:36Z,5,13766
Union,2023-08-28,2023-08-28T19:54:36Z,0,5812
Unknown,2023-08-28,2023-08-28T19:54:36Z,0,14406
Volusia,2023-08-28,2023-08-28T19:54:36Z,11,314998
Wakulla,2023-08-28,2023-08-28T19:54:36Z,2,17740
Walton,2023-08-28,2023-08-28T19:54:36Z,3,72067
Washington,2023-08-28,2023-08-28T19:54:36Z,0,27898
