company,download_date,download_time,total_outages,customers_tracked
Central Florida Electric Cooperative,2023-08-28,2023-08-28T19:54:36Z,8,36932
Choctawhatchee Electric Coop,2023-08-28,2023-08-28T19:54:36Z,2,66286
City of Tallahassee,2023-08-28,2023-08-28T19:54:36Z,653,105440
Clay Electric Coop,2023-08-28,2023-08-28T19:54:36Z,4,190301
Duke Energy ,2023-08-28,2023-08-28T19:54:36Z,246,1953574
Escambia River Electric Coop,2023-08-28,2023-08-28T19:54:36Z,6,11691
Florida Keys Electric Coop,2023-08-28,2023-08-28T19:54:36Z,0,33303
Florida Power &amp; Light Company,2023-08-28,2023-08-28T19:54:36Z,1863,5687136
Florida Public Utilities,2023-08-28,2023-08-28T19:54:36Z,0,30016
Fort Pierce Utilities Authority,2023-08-28,2023-08-28T19:54:36Z,0,28830
Gainesville Regional Utilities,2023-08-28,2023-08-28T19:54:36Z,0,100600
Glades Electric Cooperative,2023-08-28,2023-08-28T19:54:36Z,2,17601
Gulf Coast Electric Coop,2023-08-28,2023-08-28T19:54:36Z,0,21709
Jacksonville Electric Authority,2023-08-28,2023-08-28T19:54:36Z,9,523199
Keys Energy Services,2023-08-28,2023-08-28T19:54:36Z,0,79169
Kissimmee Utility Authority,2023-08-28,2023-08-28T19:54:36Z,2,90000
Lake Land Electric,2023-08-28,2023-08-28T19:54:36Z,0,144353
Lee County Electric Coop,2023-08-28,2023-08-28T19:54:36Z,4,240701
New Smyrna Beach Utilities,2023-08-28,2023-08-28T19:54:36Z,0,30254
Ocala Electric Utility,2023-08-28,2023-08-28T19:54:36Z,3,52146
Okefenoke REMC,2023-08-28,2023-08-28T19:54:36Z,0,11496
Orlando Utilities Commission,2023-08-28,2023-08-28T19:54:36Z,0,274640
Peace River Electric Coop,2023-08-28,2023-08-28T19:54:36Z,0,59089
SECO Energy,2023-08-28,2023-08-28T19:54:36Z,80,233915
Suwannee Valley Electric Cooperative,2023-08-28,2023-08-28T19:54:36Z,66,28516
Talquin Electric Cooperative,2023-08-28,2023-08-28T19:54:36Z,3,54846
Tampa Electric,2023-08-28,2023-08-28T19:54:36Z,58,797574
Tri-County Electric Coop,2023-08-28,2023-08-28T19:54:36Z,1,19662
West Florida Electric,2023-08-28,2023-08-28T19:54:36Z,1,74404
Withlacoochee River Electric Coop,2023-08-28,2023-08-28T19:54:36Z,0,244180
